cohort,sample,orig_blk_mean,orig_blk_std,match_blk_mean,match_blk_std,A_orig_ctplans_recall,A_orig_ctplans_precision,A_orig_ctplans_ppf,B_orig_instzs_recall,B_orig_instzs_precision,B_orig_instzs_ppf,C_match_ctplans_recall,C_match_ctplans_precision,C_match_ctplans_ppf,D_match_instzs_recall,D_match_instzs_precision,D_match_instzs_ppf,E_affine_ctplans_recall,E_affine_ctplans_precision,E_affine_ctplans_ppf,F_affine_instzs_recall,F_affine_instzs_precision,F_affine_instzs_ppf,dAC_recall,dBD_recall,confound_recall
nonlocated60,sample_00049,80.052629,41.947514,,,0.954582,0.846213,0.190881,0.954899,0.846745,0.190824,,,,,,,,,,,,,,,
nonlocated60,sample_00055,81.760611,37.207172,,,0.951706,0.853880,0.164693,0.952245,0.854298,0.164705,,,,,,,,,,,,,,,
nonlocated60,sample_00061,73.120033,40.022420,,,0.976467,0.899406,0.125526,0.880369,0.733558,0.138759,,,,,,,,,,,,,,,
nonlocated60,sample_00086,70.981521,37.915713,,,0.981304,0.906232,0.226612,0.770178,0.641555,0.251233,,,,,,,,,,,,,,,
nonlocated60,sample_00116,71.170140,39.171679,,,0.941952,0.852880,0.073675,0.555766,0.443643,0.083568,,,,,,,,,,,,,,,
nonlocated60,sample_00120,66.396534,37.136533,,,1.000000,0.862069,0.069048,1.000000,0.217391,0.273810,,,,,,,,,,,,,,,
nonlocated60,sample_00357,86.950417,28.274971,,,0.859576,0.620188,0.106202,0.858963,0.620106,0.106140,,,,,,,,,,,,,,,
nonlocated60,sample_00361,87.950762,26.176650,,,0.928388,0.758370,0.162218,0.928787,0.758227,0.162319,,,,,,,,,,,,,,,
nonlocated60,sample_00367,88.231335,22.359031,,,,,,,,,,,,,,,,,,,,,,,
nonlocated60,sample_00382,93.304538,26.522072,,,0.906934,0.700659,0.145144,0.907733,0.699459,0.145521,,,,,,,,,,,,,,,
nonlocated60,sample_00387,92.703699,28.524638,,,0.914703,0.733611,0.138458,0.914128,0.732058,0.138665,,,,,,,,,,,,,,,
nonlocated60,sample_00448,72.820856,40.996703,,,0.857176,0.676493,0.102804,0.857399,0.676090,0.102892,,,,,,,,,,,,,,,
nonlocated60,sample_00450,73.701888,43.241902,,,0.939136,0.792975,0.234508,0.939481,0.792931,0.234607,,,,,,,,,,,,,,,
nonlocated60,sample_00451,74.682245,44.766386,,,0.925705,0.773566,0.164000,0.925775,0.773154,0.164100,,,,,,,,,,,,,,,
nonlocated60,sample_00460,72.266775,41.417128,,,0.915305,0.757074,0.217691,0.915890,0.756589,0.217970,,,,,,,,,,,,,,,
nonlocated60,sample_00473,72.844770,42.245928,,,0.929162,0.777565,0.135625,0.929353,0.777648,0.135638,,,,,,,,,,,,,,,
nonlocated60,sample_00506,70.154715,45.936202,,,0.932531,0.729039,0.203635,0.929338,0.733491,0.201706,,,,,,,,,,,,,,,
nonlocated60,sample_00514,71.190635,46.243496,,,0.955019,0.758149,0.162733,0.951639,0.764978,0.160710,,,,,,,,,,,,,,,
nonlocated60,sample_00516,59.294094,42.724902,,,0.956072,0.756307,0.126730,0.779180,0.576360,0.135529,,,,,,,,,,,,,,,
nonlocated60,sample_00545,80.002186,41.655130,,,0.932738,0.776041,0.189479,0.932164,0.775527,0.189487,,,,,,,,,,,,,,,
nonlocated60,sample_00548,73.871506,43.724971,,,0.946923,0.792125,0.166480,0.946857,0.791797,0.166538,,,,,,,,,,,,,,,
nonlocated60,sample_00553,66.093656,43.614014,,,0.936595,0.790976,0.119126,0.936082,0.790289,0.119164,,,,,,,,,,,,,,,
nonlocated60,sample_00556,65.713048,40.226259,,,0.927903,0.776620,0.143669,0.927858,0.776454,0.143692,,,,,,,,,,,,,,,
nonlocated60,sample_00557,65.972412,43.602262,,,0.886880,0.744570,0.102836,0.850855,0.699503,0.105015,,,,,,,,,,,,,,,
nonlocated60,sample_00584,60.980992,42.113791,,,,,,,,,,,,,,,,,,,,,,,
nonlocated60,sample_00596,69.859650,43.108427,,,0.955260,0.793666,0.208259,0.954401,0.793367,0.208150,,,,,,,,,,,,,,,
nonlocated60,sample_00603,59.796780,39.358320,,,0.922768,0.811492,0.110687,0.578147,0.467943,0.120264,,,,,,,,,,,,,,,
nonlocated60,sample_00610,68.281733,40.866200,,,0.919514,0.738619,0.141447,0.920080,0.738392,0.141577,,,,,,,,,,,,,,,
nonlocated60,sample_00612,65.204019,42.669710,,,0.866914,0.706195,0.118190,0.866084,0.705443,0.118203,,,,,,,,,,,,,,,
nonlocated60,sample_00633,68.680082,41.305978,,,0.903144,0.776486,0.141638,0.902870,0.775920,0.141698,,,,,,,,,,,,,,,
nonlocated60,sample_00634,72.286979,41.957856,,,0.923931,0.750992,0.134044,0.924131,0.750958,0.134079,,,,,,,,,,,,,,,
nonlocated60,sample_00644,64.956488,41.621013,,,0.908674,0.742374,0.087317,0.908486,0.742357,0.087301,,,,,,,,,,,,,,,
